"stim_id","twister","exp_cond","cb_cond","vowel","exp_idx"
2476,"sang ham kag naf","coda","AE->F; IH->S","AE",1
1365,"man hang gass kaf","coda","AE->F; IH->S","AE",1
2120,"gaf kan mass hang","coda","AE->F; IH->S","AE",1
632,"san haf gam kang","coda","AE->F; IH->S","AE",1
1494,"sag naf hang mak","coda","AE->F; IH->S","AE",1
1486,"mak gaf hang san","coda","AE->F; IH->S","AE",1
2518,"gan maf hak sang","coda","AE->F; IH->S","AE",1
2597,"san haf kag mang","coda","AE->F; IH->S","AE",1
2666,"kass maf hang gan","coda","AE->F; IH->S","AE",1
1852,"gass maf nang hak","coda","AE->F; IH->S","AE",1
2468,"haf mang gass nak","coda","AE->F; IH->S","AE",1
1518,"hang kan gaf mass","coda","AE->F; IH->S","AE",1
1650,"maf hang gak san","coda","AE->F; IH->S","AE",1
2674,"nang mag kaf hass","coda","AE->F; IH->S","AE",1
1801,"nass gang ham kaf","coda","AE->F; IH->S","AE",1
2523,"kaf han mang sag","coda","AE->F; IH->S","AE",1
2560,"nak haf mang sag","coda","AE->F; IH->S","AE",1
1480,"gam haf sang kan","coda","AE->F; IH->S","AE",1
2267,"gass naf mang hak","coda","AE->F; IH->S","AE",1
2970,"saf kan mag hang","coda","AE->F; IH->S","AE",1
922,"gaf mass kang han","coda","AE->F; IH->S","AE",1
2662,"nak mag hang saf","coda","AE->F; IH->S","AE",1
2329,"hass mang kan gaf","coda","AE->F; IH->S","AE",1
1763,"nang hag mass kaf","coda","AE->F; IH->S","AE",1
2316,"nass mag kang haf","coda","AE->F; IH->S","AE",1
1322,"gam saf nak hang","coda","AE->F; IH->S","AE",1
583,"sang ham nak gaf","coda","AE->F; IH->S","AE",1
1295,"nam saf gang hak","coda","AE->F; IH->S","AE",1
2044,"kaf mag hass nang","coda","AE->F; IH->S","AE",1
2978,"hag nak maf sang","coda","AE->F; IH->S","AE",1
2068,"sak mang gaf han","coda","AE->F; IH->S","AE",1
1454,"han sak gaf mang","coda","AE->F; IH->S","AE",1
554,"kag mass nang haf","coda","AE->F; IH->S","AE",1
1123,"maf han sang kag","coda","AE->F; IH->S","AE",1
2921,"naf sag mang hak","coda","AE->F; IH->S","AE",1
2603,"sag naf mak hang","coda","AE->F; IH->S","AE",1
802,"gass haf mak nang","coda","AE->F; IH->S","AE",1
2391,"saf kam han gang","coda","AE->F; IH->S","AE",1
1040,"sam hak gaf nang","coda","AE->F; IH->S","AE",1
1235,"kag hang san maf","coda","AE->F; IH->S","AE",1
2898,"ham gak sang naf","coda","AE->F; IH->S","AE",1
959,"nag mass kang haf","coda","AE->F; IH->S","AE",1
2762,"sak mag haf nang","coda","AE->F; IH->S","AE",1
2334,"hang san gaf mak","coda","AE->F; IH->S","AE",1
1415,"mag sak nang haf","coda","AE->F; IH->S","AE",1
2393,"hak nam saf gang","coda","AE->F; IH->S","AE",1
2370,"sam naf kag hang","coda","AE->F; IH->S","AE",1
1325,"gang kam haf san","coda","AE->F; IH->S","AE",1
2920,"hak mang san gaf","coda","AE->F; IH->S","AE",1
754,"saf hag mak nang","coda","AE->F; IH->S","AE",1
1263,"saf mang han gak","coda","AE->F; IH->S","AE",1
1320,"sag hang kan maf","coda","AE->F; IH->S","AE",1
1451,"nass kang ham gaf","coda","AE->F; IH->S","AE",1
665,"mag kass haf nang","coda","AE->F; IH->S","AE",1
2904,"haf sang mag kan","coda","AE->F; IH->S","AE",1
402,"saf hag kam nang","coda","AE->F; IH->S","AE",1
346,"sak naf hag mang","coda","AE->F; IH->S","AE",1
730,"mag hang naf sak","coda","AE->F; IH->S","AE",1
2,"mang hak naf gass","coda","AE->F; IH->S","AE",1
576,"mang sag haf nak","coda","AE->F; IH->S","AE",1
1564,"hak nang gam saf","coda","AE->F; IH->S","AE",1
1655,"nass mag kaf hang","coda","AE->F; IH->S","AE",1
639,"gam saf kan hang","coda","AE->F; IH->S","AE",1
1395,"nam hass kang gaf","coda","AE->F; IH->S","AE",1
116,"ham kang saf gan","coda","AE->F; IH->S","AE",1
555,"sam hang naf gak","coda","AE->F; IH->S","AE",1
2871,"hang gass kaf man","coda","AE->F; IH->S","AE",1
818,"ham sak gang naf","coda","AE->F; IH->S","AE",1
1979,"saf gang hak nam","coda","AE->F; IH->S","AE",1
595,"gam san haf kang","coda","AE->F; IH->S","AE",1
1030,"maf hak nag sang","coda","AE->F; IH->S","AE",1
860,"san kag hang maf","coda","AE->F; IH->S","AE",1
3049,"sam gak hang naf","coda","AE->F; IH->S","AE",1
677,"mang kan hass gaf","coda","AE->F; IH->S","AE",1
1043,"gass kan mang haf","coda","AE->F; IH->S","AE",1
1591,"kaf han sam gang","coda","AE->F; IH->S","AE",1
1445,"sang hak naf mag","coda","AE->F; IH->S","AE",1
1712,"gang maf nak hass","coda","AE->F; IH->S","AE",1
1482,"nass maf gang hak","coda","AE->F; IH->S","AE",1
768,"kan hang maf sag","coda","AE->F; IH->S","AE",1
461,"maf hass kang gan","coda","AE->F; IH->S","AE",1
599,"sak gam nang haf","coda","AE->F; IH->S","AE",1
3013,"saf kang hag nam","coda","AE->F; IH->S","AE",1
229,"haf gang kam nass","coda","AE->F; IH->S","AE",1
997,"haf mag sang nak","coda","AE->F; IH->S","AE",1
2805,"gak hang maf nass","coda","AE->F; IH->S","AE",1
1036,"naf sak hang gam","coda","AE->F; IH->S","AE",1
9,"kaf mag hang nass","coda","AE->F; IH->S","AE",1
2710,"haf gass mang kan","coda","AE->F; IH->S","AE",1
148,"mang naf kag hass","coda","AE->F; IH->S","AE",1
2346,"mang naf hag kass","coda","AE->F; IH->S","AE",1
2976,"maf nang sag hak","coda","AE->F; IH->S","AE",1
582,"gam naf hass kang","coda","AE->F; IH->S","AE",1
444,"mang kan sag haf","coda","AE->F; IH->S","AE",1
2053,"nag mang haf kass","coda","AE->F; IH->S","AE",1
331,"haf man sang kag","coda","AE->F; IH->S","AE",1
35,"kiss nif hing ghim","coda","AE->F; IH->S","IH",1
2481,"min kif hing ghiss","coda","AE->F; IH->S","IH",1
220,"hing ghif niss kim","coda","AE->F; IH->S","IH",1
1192,"ming kiss hin ghif","coda","AE->F; IH->S","IH",1
987,"hik ghing miss fin","coda","AE->F; IH->S","IH",1
1596,"hing mik niss fig","coda","AE->F; IH->S","IH",1
2695,"nif ghik hiss ming","coda","AE->F; IH->S","IH",1
966,"min king hig fiss","coda","AE->F; IH->S","IH",1
497,"nik fing hiss mig","coda","AE->F; IH->S","IH",1
149,"mik ning hiss fig","coda","AE->F; IH->S","IH",1
2059,"ning him fiss kig","coda","AE->F; IH->S","IH",1
2536,"ghin fik hing miss","coda","AE->F; IH->S","IH",1
1666,"ghing nif miss hik","coda","AE->F; IH->S","IH",1
1485,"hin kim ghiss fing","coda","AE->F; IH->S","IH",1
1197,"fig hik ming niss","coda","AE->F; IH->S","IH",1
1357,"nim ghiss kif hing","coda","AE->F; IH->S","IH",1
195,"fing mik hin ghiss","coda","AE->F; IH->S","IH",1
270,"miss ghif kin hing","coda","AE->F; IH->S","IH",1
2632,"fig niss hing mik","coda","AE->F; IH->S","IH",1
863,"fiss hig ming nik","coda","AE->F; IH->S","IH",1
79,"mig nif hiss king","coda","AE->F; IH->S","IH",1
227,"him kin ghiss fing","coda","AE->F; IH->S","IH",1
2257,"ming hif niss kig","coda","AE->F; IH->S","IH",1
2004,"hing fiss kin mig","coda","AE->F; IH->S","IH",1
648,"fing ghim kiss hin","coda","AE->F; IH->S","IH",1
2256,"ghim kiss ning hif","coda","AE->F; IH->S","IH",1
295,"hiss king fin mig","coda","AE->F; IH->S","IH",1
2693,"ghif kiss hing min","coda","AE->F; IH->S","IH",1
788,"king fig hiss min","coda","AE->F; IH->S","IH",1
910,"hin fik ming ghiss","coda","AE->F; IH->S","IH",1
2279,"nim fing hiss ghik","coda","AE->F; IH->S","IH",1
975,"hig king fin miss","coda","AE->F; IH->S","IH",1
1095,"hing fin ghik miss","coda","AE->F; IH->S","IH",1
473,"ghif nik hing miss","coda","AE->F; IH->S","IH",1
2439,"hik fing ghiss nim","coda","AE->F; IH->S","IH",1
995,"fiss him kig ning","coda","AE->F; IH->S","IH",1
2407,"miss hig ning fik","coda","AE->F; IH->S","IH",1
2174,"ghim fiss kin hing","coda","AE->F; IH->S","IH",1
2487,"kiss ming fin hig","coda","AE->F; IH->S","IH",1
2635,"him ghif ning kiss","coda","AE->F; IH->S","IH",1
130,"hing kig fin miss","coda","AE->F; IH->S","IH",1
2563,"mif king hig niss","coda","AE->F; IH->S","IH",1
451,"miss ning hif ghik","coda","AE->F; IH->S","IH",1
2747,"kim hiss ghif ning","coda","AE->F; IH->S","IH",1
2337,"ghim fin hing kiss","coda","AE->F; IH->S","IH",1
2843,"hik ning ghiss fim","coda","AE->F; IH->S","IH",1
1308,"kim hiss ghing fin","coda","AE->F; IH->S","IH",1
2401,"hing fiss kig min","coda","AE->F; IH->S","IH",1
590,"mig niss king hif","coda","AE->F; IH->S","IH",1
605,"ghim hik ning fiss","coda","AE->F; IH->S","IH",1
2965,"hig fing kin miss","coda","AE->F; IH->S","IH",1
1466,"hik min ghing fiss","coda","AE->F; IH->S","IH",1
1578,"hif ghik miss ning","coda","AE->F; IH->S","IH",1
1570,"hing ghin mif kiss","coda","AE->F; IH->S","IH",1
2899,"ghiss him fin king","coda","AE->F; IH->S","IH",1
1087,"hing miss ghif nik","coda","AE->F; IH->S","IH",1
429,"hing mik ghiss fin","coda","AE->F; IH->S","IH",1
738,"kiss fing hig nim","coda","AE->F; IH->S","IH",1
1916,"kim fing hig niss","coda","AE->F; IH->S","IH",1
332,"kif ghing hiss min","coda","AE->F; IH->S","IH",1
2209,"king min hiss ghif","coda","AE->F; IH->S","IH",1
2227,"hiss fing nim ghik","coda","AE->F; IH->S","IH",1
865,"kin mif hiss ghing","coda","AE->F; IH->S","IH",1
2052,"kig ning mif hiss","coda","AE->F; IH->S","IH",1
476,"hik niss fing ghim","coda","AE->F; IH->S","IH",1
2892,"ning mif hiss ghik","coda","AE->F; IH->S","IH",1
3065,"fig hin kiss ming","coda","AE->F; IH->S","IH",1
1075,"hig miss fik ning","coda","AE->F; IH->S","IH",1
330,"king min hig fiss","coda","AE->F; IH->S","IH",1
1692,"kif ming hiss ghin","coda","AE->F; IH->S","IH",1
2555,"ning fim ghik hiss","coda","AE->F; IH->S","IH",1
248,"ghin ming hiss fik","coda","AE->F; IH->S","IH",1
806,"hik ghiss ming fin","coda","AE->F; IH->S","IH",1
2783,"fim niss hing ghik","coda","AE->F; IH->S","IH",1
1160,"hiss ghing mik nif","coda","AE->F; IH->S","IH",1
1588,"nik ghiss hif ming","coda","AE->F; IH->S","IH",1
91,"ghing miss fin hik","coda","AE->F; IH->S","IH",1
88,"ghiss kif min hing","coda","AE->F; IH->S","IH",1
1531,"ghiss fing him kin","coda","AE->F; IH->S","IH",1
1528,"ming hiss fin kig","coda","AE->F; IH->S","IH",1
314,"hik fiss ning mig","coda","AE->F; IH->S","IH",1
1313,"hiss fik ning ghim","coda","AE->F; IH->S","IH",1
1975,"ghin kim fiss hing","coda","AE->F; IH->S","IH",1
413,"hig king fim niss","coda","AE->F; IH->S","IH",1
710,"ghing mik niss hif","coda","AE->F; IH->S","IH",1
666,"hik ghing nif miss","coda","AE->F; IH->S","IH",1
2222,"kig fin hiss ming","coda","AE->F; IH->S","IH",1
2106,"fing kiss hig min","coda","AE->F; IH->S","IH",1
1491,"hik fing ghiss min","coda","AE->F; IH->S","IH",1
877,"nik fiss hing ghim","coda","AE->F; IH->S","IH",1
1674,"nik fig miss hing","coda","AE->F; IH->S","IH",1
1140,"mig king nif hiss","coda","AE->F; IH->S","IH",1
692,"king hin fig miss","coda","AE->F; IH->S","IH",1
2063,"him niss fing kig","coda","AE->F; IH->S","IH",1
1270,"kig fim hiss ning","coda","AE->F; IH->S","IH",1
1273,"fik niss ghing him","coda","AE->F; IH->S","IH",1
431,"vang hak nag zam","coda","AE->F; IH->S","AE",2
1729,"van kag zang ham","coda","AE->F; IH->S","AE",2
1315,"gak haz mang van","coda","AE->F; IH->S","AE",2
839,"vang han maz kag","coda","AE->F; IH->S","AE",2
1807,"gan haz kam vang","coda","AE->F; IH->S","AE",2
1559,"gak vam hang naz","coda","AE->F; IH->S","AE",2
2991,"gaz hang vam kan","coda","AE->F; IH->S","AE",2
2707,"kam gaz hang van","coda","AE->F; IH->S","AE",2
2446,"nam vak gaz hang","coda","AE->F; IH->S","AE",2
1511,"gang han zak vam","coda","AE->F; IH->S","AE",2
2951,"kag van zam hang","coda","AE->F; IH->S","AE",2
259,"hag mang vaz kan","coda","AE->F; IH->S","AE",2
1575,"hang gaz mak van","coda","AE->F; IH->S","AE",2
2833,"vak maz gan hang","coda","AE->F; IH->S","AE",2
547,"mang zag van hak","coda","AE->F; IH->S","AE",2
2302,"ham zan gak vang","coda","AE->F; IH->S","AE",2
2561,"zang ham van kag","coda","AE->F; IH->S","AE",2
1297,"vang ham kaz gan","coda","AE->F; IH->S","AE",2
1442,"gan kang ham vaz","coda","AE->F; IH->S","AE",2
549,"mak zang van hag","coda","AE->F; IH->S","AE",2
2636,"zag vang kam han","coda","AE->F; IH->S","AE",2
1064,"hak vam gang naz","coda","AE->F; IH->S","AE",2
97,"gang naz vam hak","coda","AE->F; IH->S","AE",2
1334,"hag maz kan vang","coda","AE->F; IH->S","AE",2
2331,"haz mak van gang","coda","AE->F; IH->S","AE",2
1723,"gaz man vak hang","coda","AE->F; IH->S","AE",2
1069,"nang ham zag vak","coda","AE->F; IH->S","AE",2
3040,"hag vaz nang kam","coda","AE->F; IH->S","AE",2
2895,"nak vang ham gaz","coda","AE->F; IH->S","AE",2
325,"hag nang zak vam","coda","AE->F; IH->S","AE",2
1096,"haz vang nag kam","coda","AE->F; IH->S","AE",2
1379,"hak gam zan vang","coda","AE->F; IH->S","AE",2
2684,"hak zag mang van","coda","AE->F; IH->S","AE",2
388,"ham vang nak gaz","coda","AE->F; IH->S","AE",2
1956,"man vang zak hag","coda","AE->F; IH->S","AE",2
1700,"kam nang hag vaz","coda","AE->F; IH->S","AE",2
1186,"zam gan hang vak","coda","AE->F; IH->S","AE",2
2579,"mak gan haz vang","coda","AE->F; IH->S","AE",2
620,"vang han kag maz","coda","AE->F; IH->S","AE",2
3010,"zam van kang hag","coda","AE->F; IH->S","AE",2
2366,"nang haz vam kag","coda","AE->F; IH->S","AE",2
608,"vaz gan mak hang","coda","AE->F; IH->S","AE",2
249,"vang nag haz mak","coda","AE->F; IH->S","AE",2
2436,"mag vak nang haz","coda","AE->F; IH->S","AE",2
261,"han kam gang vaz","coda","AE->F; IH->S","AE",2
1594,"gak ham vaz nang","coda","AE->F; IH->S","AE",2
617,"hag vak zang man","coda","AE->F; IH->S","AE",2
216,"hag nam zang vak","coda","AE->F; IH->S","AE",2
1848,"vak nam gaz hang","coda","AE->F; IH->S","AE",2
647,"vam kang haz gan","coda","AE->F; IH->S","AE",2
478,"hak mag zan vang","coda","AE->F; IH->S","AE",2
161,"naz vang kam hag","coda","AE->F; IH->S","AE",2
2905,"van hang gak zam","coda","AE->F; IH->S","AE",2
1012,"hang maz nag vak","coda","AE->F; IH->S","AE",2
2927,"zang mag han vak","coda","AE->F; IH->S","AE",2
982,"zag han mak vang","coda","AE->F; IH->S","AE",2
567,"hag kan mang vaz","coda","AE->F; IH->S","AE",2
2946,"zam nang vak hag","coda","AE->F; IH->S","AE",2
1865,"naz vak hang mag","coda","AE->F; IH->S","AE",2
1426,"ham zang van gak","coda","AE->F; IH->S","AE",2
934,"vaz mang han kag","coda","AE->F; IH->S","AE",2
914,"gaz han vang kam","coda","AE->F; IH->S","AE",2
2204,"vam kang hag naz","coda","AE->F; IH->S","AE",2
1696,"hag zan vak mang","coda","AE->F; IH->S","AE",2
907,"kang vam naz hag","coda","AE->F; IH->S","AE",2
186,"gan vam kang haz","coda","AE->F; IH->S","AE",2
1206,"vang kag naz ham","coda","AE->F; IH->S","AE",2
2239,"vang kam han gaz","coda","AE->F; IH->S","AE",2
2226,"mak gaz vang han","coda","AE->F; IH->S","AE",2
1124,"gaz man hak vang","coda","AE->F; IH->S","AE",2
2038,"vam gang han kaz","coda","AE->F; IH->S","AE",2
1846,"gang zak ham van","coda","AE->F; IH->S","AE",2
1058,"gan maz vak hang","coda","AE->F; IH->S","AE",2
2729,"vam nang gak haz","coda","AE->F; IH->S","AE",2
196,"nang gam vaz hak","coda","AE->F; IH->S","AE",2
165,"vang zak gan ham","coda","AE->F; IH->S","AE",2
96,"mag hang vak naz","coda","AE->F; IH->S","AE",2
140,"kaz vang gam han","coda","AE->F; IH->S","AE",2
3042,"ham vak nang gaz","coda","AE->F; IH->S","AE",2
2178,"hag zan kang vam","coda","AE->F; IH->S","AE",2
534,"hang gan maz vak","coda","AE->F; IH->S","AE",2
1601,"mag han vaz kang","coda","AE->F; IH->S","AE",2
2027,"naz kag vang ham","coda","AE->F; IH->S","AE",2
2748,"haz mang gak van","coda","AE->F; IH->S","AE",2
2035,"gan vam hang zak","coda","AE->F; IH->S","AE",2
312,"mak zan hag vang","coda","AE->F; IH->S","AE",2
792,"gaz vam kang han","coda","AE->F; IH->S","AE",2
2367,"gak ham van zang","coda","AE->F; IH->S","AE",2
1630,"maz vak hang gan","coda","AE->F; IH->S","AE",2
2996,"kang man hag vaz","coda","AE->F; IH->S","AE",2
2054,"zan hang gam vak","coda","AE->F; IH->S","AE",2
1473,"kag zan hang vam","coda","AE->F; IH->S","AE",2
1555,"naz gang vam hak","coda","AE->F; IH->S","AE",2
546,"hang gan zak vam","coda","AE->F; IH->S","AE",2
734,"gaz ham nang vak","coda","AE->F; IH->S","AE",2
1818,"nam hang gak vaz","coda","AE->F; IH->S","AE",2
499,"vig zim ning hik","coda","AE->F; IH->S","IH",2
1992,"mik ziv hin ghing","coda","AE->F; IH->S","IH",2
1641,"hing zik mig niv","coda","AE->F; IH->S","IH",2
2149,"kig hing zin miv","coda","AE->F; IH->S","IH",2
2181,"hin zim kiv ghing","coda","AE->F; IH->S","IH",2
47,"hig mik ning ziv","coda","AE->F; IH->S","IH",2
1054,"zik hiv ning mig","coda","AE->F; IH->S","IH",2
55,"zin hik ming vig","coda","AE->F; IH->S","IH",2
2153,"zim vig hik ning","coda","AE->F; IH->S","IH",2
503,"kin vim zing hig","coda","AE->F; IH->S","IH",2
1907,"zig nim ving hik","coda","AE->F; IH->S","IH",2
518,"hiv zin ghim king","coda","AE->F; IH->S","IH",2
1792,"ning kig him ziv","coda","AE->F; IH->S","IH",2
2092,"vin zik hing mig","coda","AE->F; IH->S","IH",2
2040,"zing hig mik niv","coda","AE->F; IH->S","IH",2
1209,"zim ning vik hig","coda","AE->F; IH->S","IH",2
1857,"hig ving zim nik","coda","AE->F; IH->S","IH",2
34,"vim ghing zik hin","coda","AE->F; IH->S","IH",2
3,"ghik zim hiv ning","coda","AE->F; IH->S","IH",2
2626,"vik hig ming zin","coda","AE->F; IH->S","IH",2
2489,"zing hiv ghin mik","coda","AE->F; IH->S","IH",2
2980,"hiv ghing mik zin","coda","AE->F; IH->S","IH",2
2397,"zin ving ghik him","coda","AE->F; IH->S","IH",2
2461,"kim hing vig zin","coda","AE->F; IH->S","IH",2
2524,"hik vin zing mig","coda","AE->F; IH->S","IH",2
1755,"nim ghik ziv hing","coda","AE->F; IH->S","IH",2
1839,"vim zig hing nik","coda","AE->F; IH->S","IH",2
1063,"zig vin kim hing","coda","AE->F; IH->S","IH",2
522,"zing nik hig vim","coda","AE->F; IH->S","IH",2
1786,"vik zig him ning","coda","AE->F; IH->S","IH",2
68,"zik vig nim hing","coda","AE->F; IH->S","IH",2
831,"zig ming hiv nik","coda","AE->F; IH->S","IH",2
2513,"hiv ghin ming zik","coda","AE->F; IH->S","IH",2
2369,"mig king ziv hin","coda","AE->F; IH->S","IH",2
2690,"hing kin ghiv zim","coda","AE->F; IH->S","IH",2
1274,"nim ghing ziv hik","coda","AE->F; IH->S","IH",2
1969,"ning vim zik hig","coda","AE->F; IH->S","IH",2
1781,"hiv ghin king zim","coda","AE->F; IH->S","IH",2
2912,"zig him vik ning","coda","AE->F; IH->S","IH",2
376,"hing ghin zim kiv","coda","AE->F; IH->S","IH",2
2143,"ning hik ziv ghim","coda","AE->F; IH->S","IH",2
1129,"hing mik zin ghiv","coda","AE->F; IH->S","IH",2
1611,"him vig king zin","coda","AE->F; IH->S","IH",2
258,"hik zig ving min","coda","AE->F; IH->S","IH",2
53,"vim hing zig nik","coda","AE->F; IH->S","IH",2
2375,"nim kig hing ziv","coda","AE->F; IH->S","IH",2
1707,"kig hing ziv nim","coda","AE->F; IH->S","IH",2
1750,"nik ming hig ziv","coda","AE->F; IH->S","IH",2
1364,"min ziv ghing hik","coda","AE->F; IH->S","IH",2
2711,"zin king hiv mig","coda","AE->F; IH->S","IH",2
146,"zin vik hing ghim","coda","AE->F; IH->S","IH",2
137,"hin ghik zing vim","coda","AE->F; IH->S","IH",2
2452,"king zin ghiv him","coda","AE->F; IH->S","IH",2
111,"ziv hig mik ning","coda","AE->F; IH->S","IH",2
2179,"him king zig vin","coda","AE->F; IH->S","IH",2
571,"miv hig nik zing","coda","AE->F; IH->S","IH",2
871,"vik zig min hing","coda","AE->F; IH->S","IH",2
999,"kim zing hig niv","coda","AE->F; IH->S","IH",2
691,"nik zing hiv ghim","coda","AE->F; IH->S","IH",2
336,"zim king ghiv hin","coda","AE->F; IH->S","IH",2
2191,"hing zin vik ghim","coda","AE->F; IH->S","IH",2
3066,"hing zim niv kig","coda","AE->F; IH->S","IH",2
338,"ghing zin hik miv","coda","AE->F; IH->S","IH",2
1541,"ziv ghing him nik","coda","AE->F; IH->S","IH",2
1930,"him vin kig zing","coda","AE->F; IH->S","IH",2
1571,"hing kin vim zig","coda","AE->F; IH->S","IH",2
544,"hig ming zik niv","coda","AE->F; IH->S","IH",2
545,"vim hik ghin zing","coda","AE->F; IH->S","IH",2
2598,"him niv zing ghik","coda","AE->F; IH->S","IH",2
1498,"kim hig zin ving","coda","AE->F; IH->S","IH",2
1526,"nim hiv zing ghik","coda","AE->F; IH->S","IH",2
1529,"nim zik vig hing","coda","AE->F; IH->S","IH",2
1516,"hing vig zik min","coda","AE->F; IH->S","IH",2
84,"ziv kig hing nim","coda","AE->F; IH->S","IH",2
1914,"hik vin zim ghing","coda","AE->F; IH->S","IH",2
2853,"hing ghim kiv zin","coda","AE->F; IH->S","IH",2
2700,"ghim ziv ning hik","coda","AE->F; IH->S","IH",2
1214,"ming vin zig hik","coda","AE->F; IH->S","IH",2
1185,"ving min zig hik","coda","AE->F; IH->S","IH",2
1050,"him kin vig zing","coda","AE->F; IH->S","IH",2
2414,"hik zim ghiv ning","coda","AE->F; IH->S","IH",2
1290,"niv hig zing mik","coda","AE->F; IH->S","IH",2
1241,"vik zig ning him","coda","AE->F; IH->S","IH",2
2803,"ziv min ghik hing","coda","AE->F; IH->S","IH",2
2992,"zik hiv ming ghin","coda","AE->F; IH->S","IH",2
820,"vim kin zig hing","coda","AE->F; IH->S","IH",2
1103,"zing hig min vik","coda","AE->F; IH->S","IH",2
1388,"kim hin zing ghiv","coda","AE->F; IH->S","IH",2
1574,"kin hiv zig ming","coda","AE->F; IH->S","IH",2
2479,"hing zig mik vin","coda","AE->F; IH->S","IH",2
1595,"zig niv ming hik","coda","AE->F; IH->S","IH",2
2765,"zin ghing hiv mik","coda","AE->F; IH->S","IH",2
87,"zik ghim hin ving","coda","AE->F; IH->S","IH",2
2558,"ghing ziv him kin","coda","AE->F; IH->S","IH",2
1863,"zik hing vig nim","coda","AE->F; IH->S","IH",2
1661,"zik hig ving nim","coda","AE->F; IH->S","IH",2
2789,"hang gass nam kaf","coda","AE->S; IH->F","AE",1
2810,"ham gang nass fak","coda","AE->S; IH->F","AE",1
